ABEV3
ALOS3
ALPA4
ARZZ3
ASAI3
AZUL4
B3SA3
BBAS3
BBDC3
BBDC4
BBSE3
BEEF3
BHIA3
BPAC11
BRAP4
BRFS3
BRKM5
CCRO3
CIEL3
CMIG4
CMIN3
COGN3
CPFE3
CPLE6
CRFB3
CSAN3
CSNA3
CVCB3
CYRE3
DXCO3
EGIE3
ELET3
ELET6
EMBR3
ENEV3
ENGI11
EQTL3
EZTC3
FLRY3
GGBR4
GOAU4
HAPV3
HYPE3
IGTI11
IRBR3
ITSA4
ITUB4
JBSS3
KLBN11
LREN3
LWSA3
MGLU3
MRFG3
MRVE3
MULT3
NTCO3
PCAR3
PETR3
PETR4
PETZ3
PRIO3
RADL3
RAIL3
RAIZ4
RDOR3
RECV3
Redutor
RENT3
RRRP3
SANB11
SBSP3
SLCE3
SMTO3
SOMA3
SUZB3
TAEE11
TIMS3
TOTS3
TRPL4
UGPA3
USIM5
VALE3
VAMO3
VBBR3
VIVT3
WEGE3
YDUQ3
